State,Severity,Temperature(F),Wind_Chill(F),Humidity(%),Pressure(in),Visibility(mi),Wind_Speed(mph),Precipitation(in)
OH,3,45.1,42.8,68.0,30.08,10.0,4.6,
VA,2,36.0,,89.0,30.28,10.0,,
NC,2,44.1,41.5,82.0,30.26,10.0,4.6,
NC,2,51.1,,61.0,30.25,10.0,6.9,
VA,2,54.0,,53.0,30.13,10.0,4.6,
NC,2,54.0,,62.0,30.11,10.0,,
VA,3,53.1,,55.0,30.11,10.0,5.8,
VA,2,33.8,,93.0,30.28,10.0,,
VA,2,42.1,37.1,73.0,30.28,10.0,8.1,
VA,2,53.1,,47.0,30.23,10.0,5.8,
NC,2,54.0,,53.0,30.14,10.0,,
VA,2,51.1,,56.0,30.14,10.0,4.6,
FL,2,72.0,,91.0,29.95,10.0,3.5,
SC,2,41.0,39.0,93.0,30.22,10.0,3.5,
GA,2,55.4,,58.0,30.14,10.0,4.6,
GA,2,54.0,,66.0,30.15,10.0,3.5,
GA,2,54.0,,55.0,30.02,10.0,8.1,0.0
NC,2,48.9,,77.0,30.15,10.0,,
FL,2,73.0,,68.0,30.03,10.0,10.4,
SC,2,53.6,,72.0,30.18,10.0,5.8,
GA,3,57.0,,53.0,30.05,10.0,12.7,
NE,2,46.9,,87.0,30.05,10.0,3.5,
NE,2,48.9,,83.0,29.97,9.0,3.5,0.01
NE,2,48.0,,89.0,29.96,6.0,6.9,0.0
MN,2,45.0,41.8,71.0,30.1,10.0,5.8,
KS,3,46.9,,90.0,30.05,10.0,3.5,0.01
KS,3,46.9,,90.0,30.05,10.0,3.5,0.01
IL,2,50.0,,53.0,30.1,10.0,,
TX,2,71.6,,63.0,29.87,10.0,8.1,
LA,2,69.1,,96.0,29.85,3.0,4.6,0.19
TX,3,60.1,,80.0,29.98,10.0,6.9,
TX,3,66.0,,63.0,29.89,10.0,3.5,
TX,2,64.4,,68.0,29.9,10.0,6.9,
LA,2,62.1,,100.0,29.85,4.0,5.8,0.14
OK,2,50.0,,89.0,30.04,8.0,4.6,0.01
OK,2,50.0,,93.0,30.0,3.0,6.9,0.02
TX,3,61.0,,70.0,29.88,10.0,6.9,
TN,3,51.8,,88.0,29.99,10.0,,
LA,3,73.9,,93.0,29.87,9.0,9.2,0.06
AL,2,,,,,,,
TN,2,55.0,,74.0,30.1,9.0,3.5,0.0
TX,2,62.6,,94.0,29.94,10.0,8.1,
TX,2,66.2,,73.0,29.88,10.0,10.4,
TX,3,64.9,,75.0,29.87,10.0,6.9,
CO,2,46.0,,51.0,30.01,10.0,,
AZ,2,64.8,,62.0,30.01,10.0,5.8,
AZ,2,68.0,,65.0,30.0,10.0,3.5,
AZ,2,82.9,,29.0,29.89,10.0,8.1,
AZ,3,84.2,,30.0,29.93,10.0,8.1,
AZ,2,84.2,,30.0,29.93,10.0,9.2,
TX,3,70.0,,44.0,29.94,10.0,6.9,
OR,2,46.9,,83.0,30.15,10.0,11.5,
WA,3,55.0,,77.0,30.06,10.0,3.5,0.0
WA,2,55.0,,89.0,30.06,4.0,4.6,0.0
OR,2,52.0,,97.0,30.13,10.0,3.5,0.03
CA,2,39.2,35.9,87.0,30.09,7.0,4.6,
CA,3,52.0,,93.0,30.09,10.0,,
CA,3,66.9,,66.0,30.07,10.0,11.5,
CA,3,71.6,,43.0,30.01,9.0,4.6,
CA,2,73.4,,27.0,30.03,10.0,,
CA,2,,,,29.98,3.0,,
CA,2,66.0,,70.0,30.01,10.0,,
CA,2,86.0,,23.0,29.96,5.0,5.8,
CA,2,78.8,,51.0,29.96,10.0,5.8,
CA,2,82.0,,30.0,29.91,10.0,9.2,
CA,2,75.0,,55.0,29.95,10.0,6.9,
NY,3,46.0,40.2,61.0,30.06,10.0,12.7,
MA,3,33.1,27.7,59.0,30.08,10.0,5.8,
RI,2,30.9,27.5,79.0,30.12,10.0,3.5,
MA,2,48.0,,32.0,30.13,10.0,3.5,
MA,3,41.0,34.3,43.0,30.17,10.0,11.5,
NY,2,34.0,,89.0,30.12,10.0,,
PA,2,35.1,,92.0,30.15,9.0,,
NJ,2,32.0,,92.0,30.16,,,
NY,3,39.0,34.8,65.0,30.15,10.0,5.8,
NJ,2,43.0,,58.0,30.15,,,
NY,2,46.0,44.8,56.0,30.09,10.0,3.5,
NY,2,48.0,,58.0,30.11,10.0,,
NY,2,45.0,41.8,68.0,30.11,10.0,5.8,
PA,2,36.0,33.3,89.0,30.11,10.0,3.5,
MD,3,46.0,,63.0,30.13,,,
PA,2,48.0,,61.0,30.05,10.0,8.1,
IN,2,50.0,,96.0,29.73,3.0,8.1,0.0
KY,3,55.0,,96.0,29.62,2.0,,0.03
KY,3,54.0,,97.0,29.63,2.0,6.9,0.01
OH,2,41.0,35.8,76.0,29.9,10.0,8.1,
KY,2,55.0,,93.0,29.62,3.0,4.6,0.02
VA,2,41.0,,100.0,30.05,10.0,,
NC,2,46.0,41.9,96.0,29.99,2.5,8.1,0.05
NC,3,46.4,42.9,93.0,29.92,1.5,6.9,
VA,2,43.0,39.5,97.0,29.84,2.0,5.8,0.22
VA,2,43.0,40.3,89.0,30.09,10.0,4.6,
VA,2,42.1,,96.0,30.14,10.0,,
NC,3,45.0,39.7,93.0,29.99,9.0,10.4,0.09
VA,2,46.9,,90.0,30.01,5.0,8.1,0.04
NC,2,45.0,37.9,93.0,29.88,2.0,16.1,0.05
VA,2,48.9,,97.0,29.89,3.0,8.1,0.09
VA,2,50.0,,96.0,29.87,8.0,5.8,0.13
FL,2,80.6,,74.0,29.83,10.0,11.5,
FL,2,73.4,,94.0,29.82,10.0,9.2,
FL,2,78.1,,84.0,29.79,10.0,8.1,
FL,2,79.0,,72.0,29.77,10.0,13.8,
FL,3,75.9,,74.0,29.79,10.0,10.4,
SC,3,51.1,,100.0,29.72,2.0,5.8,0.05
SC,2,52.0,,89.0,29.65,3.0,,0.08
SC,2,72.0,,97.0,29.6,1.8,11.5,0.51
FL,3,73.4,,94.0,29.77,10.0,10.4,
MN,3,48.0,,77.0,29.79,10.0,11.5,
NE,2,47.5,,90.0,29.9,10.0,3.5,
MN,3,48.9,,83.0,29.81,7.0,6.9,0.01
MN,3,48.9,,77.0,29.79,9.0,10.4,
IL,2,48.9,,71.0,29.88,10.0,8.1,
IA,2,52.0,,63.0,29.83,10.0,5.8,
TX,2,79.0,,52.0,29.97,10.0,8.1,
TX,2,75.4,,41.0,29.94,10.0,4.6,
LA,2,57.9,,93.0,29.9,10.0,4.6,
OK,3,43.0,41.3,100.0,29.97,6.0,3.5,
TX,2,53.6,,100.0,30.0,7.0,,
TX,2,70.0,,71.0,30.01,10.0,9.2,
LA,2,57.9,,87.0,29.9,10.0,6.9,
LA,2,66.9,,59.0,29.9,10.0,9.2,
TX,2,73.0,,48.0,29.92,10.0,8.1,
TX,2,57.7,,92.0,29.96,10.0,,
OK,2,48.9,,97.0,29.94,8.0,,
LA,3,71.6,,53.0,29.84,10.0,9.2,
AL,2,55.0,,96.0,29.76,1.8,,0.0
TN,2,53.1,,89.0,29.71,2.0,5.8,0.01
TN,3,55.0,,89.0,29.68,2.0,8.1,0.0
TN,2,54.0,,90.0,29.71,6.0,4.6,0.0
AL,3,55.4,,100.0,29.68,2.5,6.9,
AL,2,55.0,,86.0,29.81,10.0,10.4,
TX,2,57.2,,82.0,29.96,10.0,8.1,
TX,2,64.4,,68.0,30.0,10.0,5.8,
OK,2,55.0,,74.0,29.98,10.0,10.4,
TX,2,73.9,,53.0,29.94,10.0,10.4,
CO,2,66.2,,18.0,30.06,50.0,6.9,
CO,3,66.2,,18.0,30.06,50.0,6.9,
UT,3,,,,,,,
AZ,3,62.6,,94.0,30.02,10.0,,
AZ,3,61.0,,72.0,29.98,10.0,,
AZ,3,64.9,,70.0,29.97,10.0,,
NM,2,,,,,,,
OR,3,60.1,,96.0,30.12,6.0,,0.0
OR,3,60.1,,80.0,30.03,10.0,10.4,
OR,3,63.0,,81.0,30.1,10.0,5.8,0.0
OR,2,62.1,,86.0,30.12,10.0,,
CA,2,57.0,,77.0,30.12,10.0,4.6,
CA,3,54.0,,93.0,30.1,10.0,3.5,
CA,3,61.0,,83.0,30.14,10.0,4.6,
CA,3,82.0,,29.0,30.01,10.0,5.8,
CA,2,72.0,,44.0,29.97,10.0,,
CA,2,44.6,,100.0,30.11,9.0,,
CA,2,81.0,,31.0,30.01,8.0,6.9,
CA,2,82.0,,33.0,30.03,8.0,3.5,
CA,3,62.1,,90.0,30.02,4.0,,
CA,3,66.0,,75.0,30.04,6.0,,
CA,2,82.4,,16.0,30.07,7.0,,
CA,2,80.1,,43.0,30.02,6.0,,
CA,3,82.9,,46.0,29.97,10.0,3.5,
CA,3,75.9,,54.0,29.94,8.0,3.5,
CA,2,70.0,,73.0,29.96,6.0,9.2,
CA,3,73.9,,64.0,29.95,9.0,4.6,
MD,3,49.1,,95.0,29.56,1.8,6.9,
VA,2,51.1,,85.0,29.62,3.0,11.5,
MD,2,48.2,,93.0,29.65,3.0,8.1,
KY,3,48.0,,89.0,29.79,9.0,6.9,0.01
NC,2,48.9,,97.0,29.69,1.5,5.8,
FL,2,84.9,,63.0,29.91,10.0,9.2,
SC,2,50.0,,94.0,29.74,5.0,4.6,
SC,2,55.9,,84.0,29.81,10.0,13.8,
SC,2,66.0,,52.0,29.75,10.0,11.5,
SC,2,62.6,,63.0,29.73,10.0,9.2,
GA,2,62.1,,65.0,29.83,10.0,8.1,
IL,3,41.4,,99.0,29.87,3.0,,
TX,3,54.0,,98.0,30.02,10.0,,
TX,3,68.0,,60.0,30.05,10.0,,
TX,2,78.1,,56.0,30.08,10.0,,
LA,2,55.0,,100.0,30.06,10.0,3.5,
CO,3,42.4,36.5,56.0,30.09,10.0,10.4,
CA,2,,,,,,,
CA,2,55.9,,93.0,30.03,10.0,,
CA,3,66.9,,73.0,30.05,10.0,6.9,
CA,3,91.0,,13.0,29.9,10.0,6.9,
CA,3,75.0,,51.0,29.93,10.0,3.5,
CA,3,71.6,,46.0,29.98,10.0,4.6,
CA,3,64.9,,87.0,30.0,3.0,,
CA,3,62.1,,96.0,30.0,4.0,,
MI,2,39.0,34.0,89.0,29.75,10.0,6.9,
MI,3,46.0,43.9,89.0,29.59,4.0,4.6,0.02
NJ,2,46.9,,93.0,29.71,7.0,4.6,
NY,3,50.0,,71.0,29.78,10.0,10.4,
NJ,3,53.1,,61.0,29.77,10.0,,
MD,3,51.1,,80.0,29.77,10.0,6.9,0.0
NC,2,59.0,,55.0,30.06,10.0,11.5,
NC,2,66.0,,45.0,29.95,10.0,9.2,
GA,3,42.6,,97.0,30.11,10.0,,
SC,2,50.0,,86.0,30.07,10.0,9.2,
SC,2,55.4,,82.0,30.13,10.0,6.9,
MN,3,45.0,37.6,76.0,29.83,10.0,17.3,
WI,3,46.9,,93.0,29.57,10.0,16.1,0.01
OK,2,64.0,,54.0,30.13,10.0,17.3,
TX,3,86.0,,35.0,30.05,10.0,6.9,
TX,3,84.9,,37.0,30.03,10.0,,
TN,2,77.0,,50.0,29.97,10.0,11.5,
TX,2,66.2,,94.0,30.12,9.0,8.1,
TX,3,66.2,,94.0,30.14,7.0,6.9,
TX,2,66.2,,94.0,30.14,7.0,6.9,
WA,2,57.0,,89.0,29.77,10.0,8.1,0.0
CA,2,59.0,,87.0,30.07,10.0,3.5,
CA,3,66.0,,78.0,30.11,10.0,8.1,
CA,3,55.4,,100.0,30.03,0.8,,
CA,3,78.8,,28.0,30.04,10.0,,
CA,3,82.4,,30.0,29.98,9.0,9.2,
CA,3,73.0,,61.0,29.95,5.0,3.5,
CA,3,82.0,,33.0,29.92,10.0,6.9,
CA,3,,,,,,,
MA,2,51.1,,74.0,29.73,10.0,9.2,
MI,3,41.0,35.2,79.0,29.9,10.0,9.2,
CT,2,50.0,,89.0,29.68,9.0,,0.0
NY,2,45.0,40.6,76.0,29.87,10.0,8.1,
NY,2,45.0,41.8,76.0,29.87,10.0,5.8,
NY,2,51.1,,86.0,29.7,10.0,10.4,
NY,2,52.0,,83.0,29.72,10.0,12.7,
DE,2,52.0,,71.0,29.79,10.0,10.4,
CT,2,53.1,,74.0,29.73,10.0,9.2,0.0
NY,2,57.0,,51.0,29.82,10.0,18.4,
NJ,3,52.5,,61.0,29.88,10.0,10.4,
NY,2,54.0,,72.0,29.73,10.0,13.8,
MA,2,57.0,,87.0,29.72,10.0,12.7,0.0
PA,2,48.9,,77.0,29.79,10.0,4.6,
OH,3,43.0,38.8,89.0,30.09,10.0,6.9,
OH,2,48.7,,72.0,30.11,10.0,10.4,
TN,2,69.1,,25.0,30.12,10.0,9.2,
VA,2,55.4,,54.0,30.05,10.0,5.8,
NC,2,63.0,,40.0,30.08,10.0,8.1,
VA,2,53.1,,77.0,29.88,10.0,8.1,
NC,2,51.8,,58.0,29.97,10.0,,
NC,2,53.1,,59.0,30.0,10.0,6.9,
VA,2,63.0,,45.0,30.01,10.0,12.7,
VA,2,64.0,,40.0,29.96,10.0,16.1,
VA,2,57.0,,49.0,30.04,10.0,3.5,
FL,3,64.9,,81.0,30.11,10.0,6.9,
FL,2,55.0,,93.0,30.14,10.0,,
FL,3,75.2,,34.0,30.05,10.0,6.9,
FL,2,81.0,,52.0,30.06,10.0,,
FL,3,75.0,,64.0,30.08,10.0,3.5,
FL,2,82.0,,47.0,30.08,10.0,3.5,
FL,2,70.0,,84.0,30.1,10.0,,
FL,2,68.0,,93.0,30.09,10.0,,
SC,3,46.9,,68.0,30.05,10.0,,
SC,2,46.9,,68.0,30.05,10.0,,
SC,2,70.0,,26.0,30.04,10.0,9.2,
FL,2,77.0,,62.0,30.1,6.0,4.6,
FL,2,79.9,,61.0,30.12,10.0,3.5,
SC,2,59.0,,82.0,30.0,10.0,4.6,
SC,2,51.8,,100.0,30.03,10.0,3.5,
MN,3,42.1,,82.0,30.09,10.0,,
NE,2,68.9,,37.0,29.81,10.0,11.5,
MN,3,48.0,,71.0,29.97,10.0,8.1,0.01
MN,3,41.0,35.8,82.0,29.86,10.0,8.1,
IL,2,54.0,,53.0,30.05,9.0,5.8,
IL,2,54.0,,51.0,30.04,10.0,5.8,
IL,2,50.0,,68.0,30.06,10.0,9.2,
TX,2,62.1,,86.0,30.1,5.0,,
TX,2,60.1,,96.0,30.13,1.5,,
OK,2,53.1,,77.0,30.04,10.0,4.6,
TX,3,84.0,,51.0,29.99,10.0,11.5,
TX,3,77.0,,62.0,29.98,10.0,3.5,
TX,3,75.0,,66.0,29.99,10.0,3.5,
TX,3,,,,,,,
LA,2,79.0,,62.0,30.15,10.0,10.4,
OK,2,51.1,,89.0,30.1,10.0,,
LA,3,,,,,,,
FL,2,78.8,,66.0,30.12,10.0,8.1,
TX,3,62.1,,96.0,30.15,0.2,,
TX,2,69.8,,88.0,30.14,10.0,4.6,
TX,2,71.6,,83.0,30.14,10.0,9.2,
TX,2,66.9,,97.0,30.15,0.8,3.5,
TX,2,80.1,,69.0,30.17,10.0,8.1,
TX,2,81.0,,62.0,30.16,10.0,12.7,
TX,2,75.2,,69.0,30.05,10.0,9.2,
CO,2,52.0,,27.0,29.91,10.0,8.1,
CO,3,66.9,,15.0,29.83,10.0,4.6,
AZ,2,89.1,,22.0,29.88,7.0,8.1,
AZ,2,75.0,,40.0,29.97,10.0,8.1,
NM,2,64.4,,37.0,30.2,10.0,6.9,
WA,2,46.0,44.8,86.0,30.11,10.0,3.5,
OR,2,52.0,,83.0,30.21,10.0,6.9,
OR,2,55.0,,83.0,30.24,10.0,10.4,
NV,3,59.0,,27.0,30.09,10.0,16.1,
CA,2,69.1,,42.0,30.12,10.0,9.2,
CA,3,61.0,,87.0,29.99,5.0,,
CA,3,59.0,,96.0,29.99,0.8,,
CA,3,59.0,,100.0,30.0,0.2,3.5,
CA,2,59.0,,100.0,30.0,0.1,4.6,
CA,3,66.0,,56.0,30.0,5.0,,
CA,3,64.0,,78.0,30.01,5.0,,
CA,2,77.0,,39.0,29.91,10.0,5.8,
CA,2,68.0,,73.0,29.95,10.0,5.8,
CA,3,64.9,,84.0,29.93,6.0,4.6,
CA,2,69.1,,58.0,29.91,7.0,5.8,
CA,3,64.0,,84.0,29.92,2.5,3.5,
MA,2,44.1,39.0,55.0,30.06,10.0,9.2,
MA,2,46.0,41.0,54.0,30.03,10.0,10.4,
NY,3,39.9,32.9,68.0,29.99,10.0,11.5,
NY,2,41.0,35.8,79.0,30.14,10.0,8.1,
PA,2,37.4,,87.0,30.09,10.0,,
PA,2,39.2,,87.0,30.11,10.0,,
NJ,2,48.2,,58.0,30.07,10.0,9.2,
NY,2,55.0,,35.0,30.03,10.0,17.3,
NY,3,55.0,,35.0,30.03,10.0,17.3,
NY,2,61.0,,32.0,30.06,10.0,4.6,
NJ,3,54.0,,33.0,30.06,10.0,6.9,
VA,3,36.1,,100.0,30.16,10.0,,
VA,2,41.0,38.0,100.0,30.18,10.0,4.6,
VA,2,52.0,,71.0,30.19,10.0,4.6,
IN,2,45.0,40.6,82.0,30.08,10.0,8.1,
IN,3,48.9,,74.0,30.07,10.0,9.2,
IN,3,55.4,,67.0,30.05,10.0,12.7,
OH,2,37.0,31.0,93.0,30.15,10.0,8.1,
OH,2,39.9,,93.0,30.18,9.0,,
OH,2,62.1,,43.0,30.05,10.0,13.8,
TN,2,41.0,,93.0,30.17,10.0,,
TN,2,41.0,,89.0,30.2,10.0,,
NC,2,37.0,,89.0,30.2,10.0,,
NC,2,39.9,37.8,93.0,30.24,9.0,3.5,
NC,2,64.0,,38.0,30.25,10.0,,
NC,2,37.0,,96.0,30.16,10.0,,
VA,2,37.9,,93.0,30.24,10.0,,
VA,2,62.1,,41.0,30.22,10.0,5.8,
NC,2,63.0,,40.0,30.2,10.0,,
VA,2,64.0,,40.0,30.16,10.0,5.8,
FL,3,64.0,,84.0,30.17,10.0,,
FL,2,80.1,,60.0,30.12,10.0,10.4,
FL,2,69.1,,93.0,30.12,10.0,5.8,
GA,3,43.2,,90.0,30.19,10.0,2.3,
GA,2,42.1,,89.0,30.22,10.0,,
SC,2,42.1,,85.0,30.24,10.0,,
SC,2,55.4,,51.0,30.27,10.0,3.5,
SC,2,64.0,,45.0,30.19,10.0,3.5,
SC,2,66.9,,39.0,30.18,10.0,3.5,
SC,2,66.2,,40.0,30.2,10.0,,
FL,3,78.1,,40.0,30.15,10.0,9.2,
GA,2,81.0,,22.0,30.14,10.0,,
GA,2,51.1,,61.0,30.21,10.0,6.9,
SC,2,59.0,,45.0,30.26,10.0,4.6,
MN,2,50.0,,66.0,29.9,10.0,13.8,
NE,2,51.3,,70.0,29.83,10.0,10.4,
MN,2,43.0,40.3,80.0,29.93,10.0,4.6,
WI,2,50.0,,76.0,29.93,10.0,8.1,
IL,2,55.0,,67.0,29.87,10.0,11.5,
IL,2,57.0,,93.0,29.77,3.0,4.6,0.08
TX,2,79.0,,62.0,29.86,10.0,13.8,
OK,2,64.0,,87.0,29.74,10.0,16.1,
TX,2,69.1,,84.0,29.86,10.0,16.1,
TX,2,82.4,,58.0,29.9,10.0,13.8,
TX,2,82.4,,58.0,29.89,10.0,16.1,
LA,2,62.1,,100.0,30.12,0.2,,
TX,2,71.1,,81.0,29.88,10.0,12.7,
TX,3,69.8,,83.0,29.9,10.0,18.4,
TN,3,78.1,,46.0,29.96,10.0,12.7,
FL,3,,,,,,,
TN,3,45.0,43.5,90.0,30.06,10.0,3.5,
FL,2,64.9,,70.0,30.15,10.0,5.8,
AL,2,69.1,,65.0,30.11,10.0,5.8,
OK,2,66.9,,84.0,29.75,10.0,13.8,
TX,2,75.9,,71.0,29.96,10.0,4.6,
AZ,2,82.4,,35.0,29.82,10.0,11.5,
AZ,2,75.0,,38.0,29.88,10.0,,
AZ,2,82.4,,26.0,29.8,10.0,13.8,
AZ,2,80.1,,29.0,29.73,10.0,6.9,
AZ,2,80.1,,29.0,29.73,10.0,6.9,
NM,2,50.0,,63.0,29.88,10.0,3.5,
TX,2,71.1,,41.0,29.82,10.0,9.2,
WA,2,45.0,43.5,90.0,30.33,10.0,3.5,
WA,2,46.9,,90.0,30.33,10.0,5.8,
CA,2,73.9,,21.0,30.05,10.0,18.4,
CA,2,64.9,,58.0,29.88,9.0,5.8,
CA,2,60.1,,93.0,29.96,1.5,,
CA,2,66.0,,68.0,29.94,10.0,3.5,
CA,3,77.0,,34.0,29.89,3.0,9.2,
CA,2,79.0,,38.0,29.88,10.0,,
CA,2,71.1,,61.0,29.86,10.0,5.8,
CA,2,71.1,,53.0,29.86,10.0,4.6,
CA,2,69.1,,57.0,29.88,10.0,,
MI,3,66.9,,79.0,30.2,10.0,,
MI,2,80.1,,52.0,30.11,10.0,11.5,
NY,2,73.0,,84.0,30.17,10.0,4.6,
NY,2,73.0,,84.0,30.17,10.0,4.6,
NY,3,75.9,,69.0,30.21,10.0,15.0,
PA,2,71.6,,94.0,30.21,10.0,8.1,
NJ,2,73.9,,87.0,30.27,10.0,6.9,
PA,2,,,,,,,
NY,2,71.1,,70.0,30.27,10.0,11.5,
PA,2,66.9,,90.0,30.17,10.0,,
PA,3,71.1,,75.0,30.18,10.0,3.5,
MD,2,,,,,,,
MD,3,77.9,,83.0,30.15,10.0,,
PA,3,73.0,,96.0,30.21,5.0,6.9,0.01
IN,2,66.0,,90.0,30.12,10.0,6.9,
IN,2,69.1,,87.0,30.12,10.0,6.9,
IN,3,81.7,,68.0,30.08,10.0,4.6,
OH,2,62.1,,96.0,30.15,9.0,3.5,
NC,2,79.0,,79.0,30.16,10.0,4.6,
NC,2,79.0,,79.0,30.16,10.0,4.6,
NC,2,82.0,,74.0,30.17,10.0,,
NC,2,87.1,,61.0,30.15,10.0,3.5,
NC,2,89.6,,46.0,30.16,10.0,,
NC,2,80.6,,84.0,30.09,1.5,38.0,0.02
NC,2,86.0,,59.0,30.16,10.0,3.5,
NC,2,88.0,,57.0,30.15,10.0,5.8,
NC,2,90.0,,48.0,30.11,10.0,,
NC,3,88.0,,59.0,30.09,10.0,4.6,
FL,2,75.0,,94.0,30.0,10.0,6.9,
FL,2,80.1,,87.0,30.01,10.0,4.6,
FL,3,80.1,,87.0,30.01,10.0,4.6,
FL,2,77.0,,88.0,30.02,10.0,3.5,0.57
FL,3,79.0,,79.0,30.0,10.0,,0.0
GA,3,70.0,,97.0,30.14,10.0,,
GA,3,72.0,,97.0,30.14,10.0,3.5,
SC,2,82.0,,71.0,30.17,10.0,3.5,
GA,2,80.6,,61.0,30.09,10.0,,
SC,3,69.8,,94.0,30.15,10.0,,
SC,3,75.0,,96.0,30.14,10.0,3.5,
GA,2,95.0,,44.0,30.1,10.0,4.6,
SC,2,78.1,,79.0,30.15,10.0,5.8,
MN,3,80.6,,61.0,29.85,10.0,12.7,
IL,2,63.0,,84.0,30.11,7.0,4.6,
IL,2,71.1,,68.0,30.1,10.0,10.4,
IL,2,84.0,,58.0,29.99,9.0,11.5,
TX,2,85.1,,57.0,30.03,10.0,5.8,
LA,2,80.1,,87.0,30.0,10.0,5.8,
TX,3,73.9,,85.0,29.95,10.0,,
TX,2,75.9,,79.0,29.96,10.0,,
TX,2,82.0,,67.0,29.97,10.0,3.5,
OK,2,93.9,,44.0,29.82,10.0,17.3,
TX,2,91.4,,41.0,29.87,10.0,6.9,
LA,2,77.0,,94.0,30.01,10.0,9.2,
AL,2,86.0,,72.0,30.01,10.0,10.4,
TX,3,74.7,,80.0,29.99,10.0,4.6,
TX,3,75.0,,79.0,30.01,10.0,,
TX,2,82.4,,66.0,30.01,10.0,5.8,
TN,2,73.0,,87.0,30.08,10.0,4.6,
AL,2,73.9,,87.0,30.1,10.0,3.5,
AL,3,75.0,,73.0,30.14,10.0,,
TN,3,90.0,,45.0,30.09,10.0,9.2,
AL,3,84.9,,59.0,30.06,10.0,5.8,
FL,3,,,,,,,
TX,2,80.6,,79.0,29.97,10.0,3.5,
TX,3,90.0,,59.0,29.92,10.0,16.1,
AZ,2,89.6,,38.0,29.89,10.0,5.8,
TX,2,96.1,,15.0,29.69,10.0,5.8,
WA,2,68.0,,50.0,30.15,10.0,6.9,
CA,2,71.6,,43.0,29.94,10.0,,
CA,2,57.9,,87.0,30.0,10.0,6.9,
CA,2,59.0,,88.0,30.06,10.0,10.4,
CA,2,78.8,,30.0,30.04,10.0,6.9,
CA,2,84.2,,29.0,29.92,9.0,8.1,
NV,3,,,,,,,
CA,3,66.9,,87.0,29.91,9.0,4.6,
CA,3,59.0,,72.0,29.95,10.0,,
CA,3,55.9,,93.0,29.9,10.0,3.5,
NY,3,73.9,,64.0,30.31,10.0,9.2,
NY,3,86.0,,57.0,30.15,10.0,10.4,
NY,3,75.0,,66.0,30.27,10.0,9.2,
CT,3,66.2,,88.0,30.3,10.0,,
TN,2,78.1,,66.0,30.14,10.0,,
FL,3,88.0,,65.0,30.06,10.0,15.0,
FL,2,77.0,,94.0,30.04,10.0,,0.0
FL,2,89.1,,63.0,30.01,10.0,16.1,
FL,3,82.4,,70.0,30.08,10.0,9.2,
TX,2,93.0,,41.0,29.85,10.0,6.9,
LA,2,81.0,,82.0,29.99,10.0,11.5,
TN,3,88.0,,53.0,30.13,10.0,3.5,
TX,2,89.1,,67.0,29.93,10.0,6.9,
TX,3,78.8,,89.0,29.9,10.0,,
UT,3,57.9,,53.0,29.84,10.0,,
CA,2,68.0,,56.0,29.84,10.0,4.6,
CA,2,70.0,,73.0,29.78,10.0,8.1,
MI,2,69.1,,90.0,30.12,10.0,,0.03
FL,3,79.0,,79.0,29.99,10.0,10.4,
SC,2,89.6,,52.0,30.21,10.0,4.6,
GA,2,86.7,,57.0,30.2,10.0,9.2,
TX,3,91.9,,47.0,29.88,10.0,4.6,
LA,2,75.0,,96.0,30.02,6.0,6.9,0.05
LA,3,77.0,,90.0,30.02,10.0,6.9,0.02
TN,2,91.0,,41.0,30.09,10.0,9.2,
AZ,3,82.0,,47.0,29.79,10.0,11.5,
CA,2,84.0,,47.0,29.75,10.0,3.5,
CA,3,78.1,,60.0,29.83,10.0,6.9,
CA,3,84.0,,44.0,29.77,10.0,10.4,
MI,3,82.0,,76.0,30.21,10.0,8.1,
MI,2,80.1,,71.0,30.19,10.0,,
IN,2,77.0,,82.0,30.22,10.0,3.5,
KY,3,93.9,,47.0,30.17,10.0,5.8,
NC,2,69.1,,93.0,30.26,9.0,,
NC,2,84.0,,69.0,30.31,10.0,6.9,
NC,2,84.2,,66.0,30.35,10.0,,
NC,3,88.7,,49.0,30.32,10.0,4.6,
VA,2,88.0,,59.0,30.21,10.0,4.6,
FL,2,78.1,,90.0,29.97,10.0,11.5,0.02
FL,2,78.1,,87.0,30.06,10.0,10.4,0.0
FL,2,79.0,,88.0,30.03,10.0,9.2,0.01
SC,2,81.0,,82.0,30.27,10.0,10.4,
GA,3,80.1,,69.0,30.27,10.0,,
SC,2,80.1,,69.0,30.22,10.0,5.8,
FL,3,80.1,,94.0,30.09,10.0,6.9,0.18
GA,2,87.1,,59.0,30.26,10.0,9.2,
MN,3,72.0,,81.0,30.13,10.0,10.4,
MN,2,66.2,,88.0,30.17,10.0,8.1,
OK,2,79.0,,74.0,30.0,10.0,11.5,
LA,2,75.0,,100.0,30.04,3.0,8.1,0.0
LA,2,78.8,,89.0,30.04,9.0,3.5,0.23
TX,2,75.9,,91.0,29.94,4.0,5.8,0.0
FL,3,,,,,,,
TX,2,77.0,,100.0,29.94,10.0,4.6,
CO,3,80.1,,29.0,30.13,10.0,9.2,
AZ,2,96.1,,22.0,29.72,10.0,3.5,
WA,3,54.3,,100.0,30.09,10.0,,
WA,3,70.0,,44.0,30.12,10.0,11.5,
CA,3,64.0,,63.0,29.81,10.0,5.8,
CA,2,87.8,,27.0,29.81,9.0,5.8,
CA,2,64.9,,93.0,29.89,7.0,4.6,
CA,2,,,,,,,
