State,Severity,Temperature(F),Wind_Chill(F),Humidity(%),Pressure(in),Visibility(mi),Wind_Speed(mph),Precipitation(in)
KY,3,33.1,24.4,78.0,30.03,9.0,11.5,0.0
OH,3,30.0,21.1,96.0,29.65,2.0,10.4,0.0
KY,2,30.9,20.7,82.0,30.0,2.0,13.8,0.0
TN,2,32.0,22.5,100.0,29.64,2.5,12.7,0.01
NC,2,37.0,31.6,96.0,29.61,10.0,6.9,0.05
NC,2,37.0,31.0,96.0,29.63,10.0,8.1,0.01
VA,3,28.9,21.9,92.0,29.66,1.0,6.9,0.01
NC,2,34.0,31.0,92.0,29.65,7.0,3.5,0.0
MA,2,34.0,25.5,89.0,29.69,1.0,11.5,0.0
OR,3,44.1,42.5,89.0,29.53,6.0,3.5,0.11
WA,2,45.0,40.1,76.0,29.71,10.0,9.2,0.01
OR,2,44.1,40.1,93.0,29.54,10.0,6.9,0.02
CA,3,35.6,29.2,87.0,29.74,5.0,8.1,0.05
WA,3,37.0,30.4,93.0,29.84,5.0,9.2,0.05
WA,2,45.0,38.9,71.0,29.85,10.0,12.7,0.0
OR,3,39.0,34.0,93.0,29.86,10.0,6.9,0.02
NC,3,33.1,27.7,96.0,30.13,2.0,5.8,0.12
IL,2,34.0,23.8,92.0,30.0,1.8,16.1,0.02
MN,3,32.0,24.2,85.0,30.2,10.0,9.2,0.0
VA,2,40.5,35.1,86.0,30.43,7.0,8.1,0.02
MO,3,45.0,39.7,90.0,30.09,9.0,10.4,0.0
OH,2,43.0,35.1,89.0,30.15,10.0,17.3,0.0
NC,2,46.0,44.8,66.0,30.5,10.0,3.5,0.0
IL,3,46.0,42.5,96.0,29.94,4.0,6.9,0.08
MI,3,45.0,41.8,86.0,29.88,8.0,5.8,0.08
OH,3,43.0,36.4,100.0,29.78,4.0,12.7,0.05
WA,2,43.0,39.5,82.0,30.39,10.0,5.8,0.0
OK,2,39.2,35.9,99.0,30.33,7.0,4.6,0.0
NH,2,27.0,23.0,96.0,29.96,1.5,3.5,0.01
NY,3,30.9,22.2,54.0,29.92,10.0,10.4,0.0
KY,3,42.1,35.7,70.0,30.03,7.0,11.5,0.0
CO,2,28.0,20.8,88.0,30.28,2.5,6.9,0.01
WA,2,43.0,37.7,82.0,30.23,10.0,9.2,0.0
NY,2,12.0,-5.1,56.0,30.31,10.0,17.3,0.0
NY,3,9.0,-6.6,92.0,30.3,3.0,12.7,0.0
OH,2,19.9,9.3,50.0,30.49,7.0,9.2,0.0
SC,2,46.0,41.0,79.0,30.2,10.0,10.4,0.0
MN,3,18.0,7.7,81.0,29.8,1.5,8.1,0.01
MN,3,17.1,4.3,84.0,29.77,0.5,11.5,0.02
MI,2,32.0,23.6,88.0,29.79,1.0,10.4,0.0
MI,3,21.9,9.8,85.0,29.79,2.5,12.7,0.0
MI,3,35.1,31.0,92.0,29.74,7.0,4.6,0.02
MI,2,19.0,5.6,85.0,29.93,2.0,13.8,0.0
PA,3,33.1,28.7,92.0,29.8,1.8,4.6,0.01
TN,3,37.0,31.0,93.0,29.89,6.0,8.1,0.06
NY,3,19.0,6.1,68.0,30.24,9.0,12.7,0.0
NY,3,16.0,-2.1,65.0,30.17,3.0,23.0,0.0
CT,2,37.0,27.7,76.0,29.81,10.0,16.1,0.0
PA,3,12.9,1.6,77.0,30.23,4.0,8.1,0.0
KY,2,21.0,14.6,71.0,30.34,9.0,4.6,0.0
KY,3,19.9,13.4,78.0,30.31,3.0,4.6,0.0
IL,2,10.0,-1.9,84.0,30.14,0.8,8.1,0.01
IL,2,9.0,-2.2,88.0,30.17,0.5,6.9,0.01
IL,2,10.9,0.2,84.0,30.19,1.0,6.9,0.01
MA,3,32.0,27.5,85.0,30.17,0.5,4.6,0.02
MI,2,16.0,7.4,84.0,30.22,1.0,5.8,0.01
MI,3,17.6,9.3,79.0,30.2,1.0,5.8,0.01
NH,3,27.0,21.6,89.0,30.21,0.2,4.6,0.02
PA,2,33.1,27.7,82.0,30.36,3.0,5.8,0.03
NY,2,26.1,15.6,88.0,30.27,1.0,11.5,0.02
CT,3,30.9,23.5,92.0,30.09,3.0,8.1,0.02
NJ,2,37.0,31.0,89.0,30.0,10.0,8.1,0.0
CT,2,25.0,20.7,88.0,30.23,5.0,3.5,0.01
KY,3,30.0,21.7,88.0,30.14,2.5,9.2,0.0
OH,3,21.9,9.8,89.0,30.17,4.0,12.7,0.0
IL,2,17.1,5.8,84.0,30.3,1.2,9.2,0.0
IL,2,14.0,2.9,88.0,30.33,6.0,8.1,0.0
NY,3,19.0,9.0,85.0,30.38,5.0,8.1,0.01
MI,2,17.1,5.8,81.0,30.34,3.0,9.2,0.0
MI,3,17.1,5.0,81.0,30.39,6.0,10.4,0.0
IA,2,17.1,11.7,84.0,30.34,1.0,3.5,0.04
IL,2,19.0,11.1,88.0,30.33,1.8,5.8,0.02
MI,3,17.1,5.8,84.0,30.33,1.0,9.2,0.0
MI,3,21.9,11.7,89.0,30.14,1.0,9.2,0.0
MI,2,19.9,11.1,89.0,30.12,0.5,6.9,0.0
MI,2,19.9,11.1,89.0,30.12,0.5,6.9,0.0
MI,2,16.0,10.4,88.0,30.38,1.2,3.5,0.01
NY,2,26.1,20.5,78.0,30.51,1.8,4.6,0.0
IL,3,27.5,20.2,98.0,30.12,1.5,6.9,0.01
MI,3,25.0,14.8,81.0,30.15,3.0,10.4,0.0
MI,3,21.9,12.5,85.0,30.16,2.0,8.1,0.01
MI,2,21.2,9.5,86.0,30.11,2.0,11.5,0.01
MI,3,21.9,15.7,89.0,30.18,1.0,4.6,0.01
MI,3,24.1,12.5,84.0,29.87,1.5,12.7,0.0
PA,3,37.9,33.5,100.0,29.97,0.2,5.8,0.05
MO,3,19.9,7.3,92.0,30.04,2.5,12.7,0.0
IL,3,18.0,4.8,84.0,29.98,2.0,12.7,0.01
IL,3,23.0,10.6,78.0,29.98,5.0,13.8,0.0
RI,2,42.1,34.9,73.0,30.17,10.0,13.8,0.0
MD,2,39.2,33.6,87.0,30.41,7.0,8.1,0.0
LA,2,44.1,41.5,100.0,30.41,1.5,4.6,0.01
MI,3,41.0,35.8,100.0,29.66,0.8,8.1,0.01
MT,3,9.0,-5.1,77.0,30.41,7.0,10.4,0.0
WA,2,45.0,38.5,100.0,30.17,2.5,13.8,0.02
WA,3,42.8,38.6,100.0,30.17,9.0,6.9,0.04
WA,2,32.0,20.5,96.0,29.73,6.0,18.4,0.02
WA,2,35.1,27.9,89.0,29.79,9.0,9.2,0.0
MA,2,45.0,40.1,90.0,30.34,10.0,9.2,0.0
MI,2,39.0,35.7,100.0,29.89,0.8,4.6,0.05
MI,2,39.9,36.7,100.0,29.94,0.8,4.6,0.01
VA,3,37.4,33.8,100.0,30.52,3.0,4.6,0.05
MO,3,34.0,25.5,96.0,29.81,5.0,11.5,0.0
MN,2,21.2,7.3,86.0,29.86,2.5,16.1,0.0
MN,3,19.9,5.7,92.0,29.94,6.0,16.1,0.0
MN,3,21.9,9.2,92.0,29.9,2.0,13.8,0.0
MN,3,21.9,7.8,89.0,29.89,3.0,17.3,0.02
UT,3,28.0,15.7,88.0,29.49,1.0,17.3,0.01
NE,2,19.2,7.0,80.0,29.98,10.0,11.5,0.01
KS,2,28.9,17.7,100.0,29.9,2.0,15.0,0.0
KS,3,26.1,13.6,96.0,30.06,1.8,16.1,0.01
TX,2,32.0,21.2,95.0,30.08,5.0,16.1,0.02
OK,2,30.0,16.3,96.0,29.99,10.0,24.2,0.01
OK,2,27.0,13.5,92.0,30.1,5.0,19.6,0.0
OK,2,30.9,18.7,92.0,30.13,10.0,19.6,0.03
TX,3,43.0,34.8,97.0,30.05,4.0,18.4,0.16
OK,2,35.1,29.3,89.0,30.04,6.0,6.9,0.18
NM,3,30.0,20.5,54.0,29.93,9.0,11.5,0.0
WA,3,34.0,25.0,67.0,30.23,10.0,12.7,0.0
OR,2,32.0,22.5,88.0,30.21,2.0,12.7,0.0
OR,2,32.0,27.5,100.0,30.18,0.5,4.6,0.11
MI,3,42.8,37.0,87.0,30.14,10.0,10.4,0.04
IN,2,41.0,33.1,86.0,30.3,9.0,15.0,0.01
IN,2,37.0,29.8,86.0,30.43,10.0,10.4,0.02
MO,3,28.9,18.2,92.0,30.41,9.0,13.8,0.0
IL,3,28.0,16.5,92.0,30.45,10.0,15.0,0.0
TX,2,45.0,39.3,86.0,30.11,10.0,11.5,0.34
TX,2,44.1,36.5,85.0,30.11,10.0,17.3,0.0
NY,2,39.0,31.4,82.0,30.6,5.0,12.7,0.0
CT,3,32.0,23.0,92.0,30.71,9.0,11.5,0.02
PA,3,42.1,38.4,82.0,30.48,5.0,5.8,0.06
PA,2,37.0,31.0,93.0,30.45,3.0,8.1,0.09
OH,3,33.1,26.1,82.0,30.57,4.0,8.1,0.04
PA,2,43.0,37.7,80.0,30.54,6.0,9.2,0.01
IN,2,41.0,31.9,82.0,30.38,10.0,19.6,0.07
MN,3,26.1,16.2,96.0,30.31,1.5,10.4,0.03
MN,3,27.0,18.0,92.0,30.27,1.5,9.2,0.02
MN,3,25.0,20.7,92.0,30.22,0.8,3.5,0.01
OK,2,28.0,20.8,96.0,30.32,4.0,6.9,0.0
TX,3,37.0,29.3,100.0,30.24,1.5,11.5,0.02
TX,2,37.0,31.6,93.0,30.29,3.0,6.9,0.29
OR,3,24.1,18.2,96.0,29.95,0.2,4.6,0.03
OR,2,30.9,22.8,100.0,30.06,10.0,9.2,0.0
WA,2,29.7,20.1,99.0,30.23,10.0,11.5,0.0
OR,2,32.0,27.5,92.0,30.13,9.0,4.6,0.0
NV,3,30.9,21.7,79.0,29.9,10.0,11.5,0.0
NV,2,37.0,29.3,41.0,29.94,10.0,11.5,0.0
RI,3,39.0,31.8,86.0,30.54,5.0,11.5,0.01
MA,2,37.9,31.5,73.0,30.5,9.0,9.2,0.01
NY,2,36.0,28.5,93.0,30.17,5.0,10.4,0.04
NY,3,34.0,26.0,85.0,30.64,10.0,10.4,0.0
OH,2,44.6,37.8,100.0,30.21,5.0,15.0,0.05
TX,2,44.1,39.5,100.0,30.16,0.8,8.1,0.06
OK,3,37.2,31.9,100.0,30.15,3.0,6.9,0.17
OK,2,42.1,37.7,92.0,30.13,6.0,6.9,0.17
OK,2,42.1,37.1,96.0,30.09,4.0,8.1,0.18
UT,3,27.0,15.6,81.0,30.05,0.8,13.8,0.02
MO,3,43.0,33.8,93.0,29.96,7.0,23.0,0.2
NY,3,41.0,34.7,93.0,30.12,5.0,10.4,0.13
CT,3,39.0,34.0,86.0,30.22,7.0,6.9,0.04
WA,2,41.0,34.7,82.0,30.07,10.0,10.4,0.01
NV,2,28.4,17.5,86.0,29.86,1.0,13.8,0.0
CA,2,32.0,24.2,100.0,29.95,1.2,9.2,0.09
CA,2,42.8,38.6,100.0,29.91,10.0,6.9,0.04
NY,2,15.1,1.8,80.0,30.36,5.0,11.5,0.0
NY,2,16.0,0.6,77.0,30.36,6.0,16.1,0.0
TX,3,30.9,20.2,64.0,30.61,10.0,15.0,0.0
MI,3,14.0,1.2,80.0,29.96,1.5,10.4,0.0
MI,2,8.1,-8.4,80.0,30.04,4.0,13.8,0.0
MI,2,10.9,-4.7,84.0,30.01,0.8,13.8,0.01
IN,2,15.1,-0.6,74.0,30.15,10.0,16.1,0.0
FL,3,45.0,38.2,93.0,30.0,7.0,15.0,0.06
FL,2,46.0,38.5,96.0,30.11,1.8,19.6,0.02
IL,2,15.1,2.5,77.0,30.11,6.0,10.4,0.0
NY,2,10.9,-2.6,84.0,29.83,0.2,10.4,0.0
MA,3,23.0,9.2,81.0,29.64,0.5,17.3,0.0
RI,3,24.8,10.3,93.0,29.15,0.2,20.7,0.0
NY,3,19.0,3.6,85.0,29.61,0.2,18.4,0.0
NJ,2,23.0,5.7,92.0,29.49,0.5,28.8,0.0
NY,2,21.9,9.8,85.0,29.55,0.5,12.7,0.03
PA,2,14.0,3.9,77.0,29.87,2.5,6.9,0.0
PA,2,21.9,10.4,85.0,29.73,2.0,11.5,0.0
PA,2,21.9,10.4,85.0,29.73,2.0,11.5,0.0
MD,4,24.1,8.7,91.0,29.65,1.5,23.0,0.0
VA,2,23.0,6.9,60.0,29.72,10.0,24.2,0.0
VA,3,28.9,16.5,100.0,29.51,0.5,18.4,0.02
VA,2,21.9,13.4,85.0,29.68,1.0,6.9,0.0
VA,3,21.9,13.4,85.0,29.68,1.5,6.9,0.01
OH,3,8.1,1.4,76.0,30.61,6.0,3.5,0.0
UT,3,34.0,29.8,92.0,30.11,1.8,4.6,0.01
TN,2,43.0,36.0,35.0,30.25,10.0,13.8,0.0
MI,3,30.9,20.2,92.0,29.88,0.8,15.0,0.02
MI,3,34.0,23.4,92.0,29.87,3.0,17.3,0.0
PA,2,24.1,16.0,69.0,30.18,6.0,6.9,0.0
KY,3,34.0,25.0,96.0,30.1,4.0,12.7,0.01
OH,3,33.1,22.6,100.0,30.02,2.0,16.1,0.02
KY,2,33.1,28.7,96.0,30.12,5.0,4.6,0.02
KY,2,33.8,24.3,100.0,30.08,4.0,13.8,0.02
SC,3,41.0,38.0,82.0,30.27,10.0,4.6,0.02
WA,2,46.0,43.9,96.0,29.65,4.0,4.6,0.02
IL,2,37.0,30.4,96.0,29.94,1.2,9.2,0.0
NC,2,45.0,41.8,93.0,30.26,5.0,5.8,0.01
NC,2,46.0,43.9,93.0,30.26,1.5,4.6,0.0
SC,2,45.0,41.2,93.0,30.25,6.0,6.9,0.0
WA,3,44.1,39.0,96.0,29.91,7.0,9.2,0.07
MI,3,25.0,11.7,92.0,29.88,1.0,17.3,0.09
MI,3,25.0,11.7,92.0,29.88,1.0,17.3,0.09
MI,3,21.0,7.1,92.0,29.95,1.0,16.1,0.02
MI,2,17.1,2.5,74.0,30.03,10.0,15.0,0.0
NY,3,33.1,23.0,96.0,29.81,5.0,15.0,0.02
IN,3,24.1,12.0,88.0,29.88,8.0,13.8,0.0
IN,2,27.0,13.5,92.0,29.92,0.8,19.6,0.02
KY,3,30.0,16.0,96.0,29.79,1.0,25.3,0.02
TN,3,30.9,19.8,89.0,29.76,2.5,16.1,0.0
IN,3,18.0,6.9,78.0,30.45,2.0,9.2,0.0
MN,3,16.0,5.3,88.0,30.06,1.0,8.1,0.0
MN,3,14.0,1.2,80.0,30.03,1.0,10.4,0.01
MI,2,17.1,3.0,74.0,30.31,2.5,13.8,0.0
MI,2,17.1,3.0,77.0,30.28,1.8,13.8,0.0
IN,2,21.9,11.0,89.0,30.26,1.8,10.4,0.02
OH,3,18.0,12.7,88.0,30.38,2.0,3.5,0.0
MN,3,6.1,-13.3,73.0,30.35,5.0,18.4,0.0
MN,3,6.1,-13.3,73.0,30.35,5.0,18.4,0.0
IL,2,19.0,8.2,85.0,30.17,1.2,9.2,0.02
IL,2,19.9,8.6,85.0,30.21,1.8,10.4,0.01
MO,2,27.0,12.8,89.0,30.32,0.5,21.9,0.01
CO,2,18.0,6.1,92.0,30.38,3.0,10.4,0.0
CO,2,17.1,6.6,92.0,30.57,3.0,8.1,0.0
CO,2,16.9,4.1,90.0,30.54,2.0,11.5,0.0
MI,2,16.0,4.4,81.0,30.42,1.0,9.2,0.01
MI,2,12.9,5.2,84.0,30.41,1.8,4.6,0.0
NY,2,23.0,14.7,88.0,30.37,7.0,6.9,0.0
IL,2,18.0,11.1,81.0,30.33,2.0,4.6,0.0
LA,3,30.0,19.5,88.0,30.58,3.0,13.8,0.0
LA,2,32.0,20.8,88.0,30.56,8.0,17.3,0.0
TX,2,27.0,12.8,78.0,30.66,6.0,21.9,0.02
TX,2,27.0,13.5,75.0,30.65,10.0,19.6,0.0
TN,3,15.1,0.5,80.0,30.64,1.8,13.8,0.01
TN,2,14.0,2.9,74.0,30.63,0.8,8.1,0.02
TX,3,25.0,16.3,81.0,30.65,10.0,8.1,0.0
TX,2,27.0,13.9,85.0,30.64,10.0,18.4,0.0
MA,2,32.0,24.2,92.0,30.09,2.0,9.2,0.0
NY,2,26.1,18.4,84.0,30.32,1.0,6.9,0.0
NY,3,27.0,17.3,81.0,30.31,1.0,10.4,0.01
MA,2,28.9,23.9,89.0,30.1,10.0,4.6,0.0
NY,3,34.0,28.8,96.0,30.25,1.5,5.8,0.03
PA,2,26.1,15.0,96.0,30.33,1.8,12.7,0.0
NY,2,37.0,34.5,96.0,30.23,1.8,3.5,0.0
NY,2,33.1,26.9,96.0,30.26,1.0,6.9,0.02
NY,2,37.0,34.5,96.0,30.23,1.8,3.5,0.0
PA,2,28.0,18.6,92.0,30.28,5.0,10.4,0.0
VA,2,28.0,17.0,85.0,30.38,0.8,13.8,0.01
NC,2,28.0,17.5,96.0,30.22,0.2,12.7,0.04
GA,3,15.1,2.5,84.0,30.33,8.0,10.4,0.0
FL,2,41.0,38.0,93.0,30.24,8.0,4.6,0.0
NE,2,2.8,-6.6,83.0,30.64,10.0,4.6,0.0
LA,2,16.0,2.3,71.0,30.68,9.0,12.7,0.0
TN,2,12.9,-0.2,71.0,30.69,6.0,10.4,0.0
NY,2,18.0,2.6,68.0,30.05,9.0,17.3,0.0
SC,2,45.0,42.6,37.0,30.27,10.0,4.6,0.0
UT,3,30.0,18.7,92.0,29.89,5.0,16.1,0.0
UT,3,35.1,25.5,72.0,29.91,6.0,15.0,0.0
WA,2,42.1,37.1,85.0,29.93,10.0,8.1,0.11
MI,2,37.0,32.4,100.0,29.89,0.8,5.8,0.0
MN,3,30.0,19.5,96.0,29.74,0.2,13.8,0.04
WI,3,32.0,19.8,96.0,29.58,0.2,20.7,0.01
MN,2,32.2,23.2,100.0,29.65,0.8,11.5,0.07
NE,2,34.7,28.8,94.0,29.43,1.5,6.9,0.1
NE,2,34.0,24.6,92.0,29.45,3.0,13.8,0.01
NE,2,33.1,20.9,92.0,29.46,1.2,21.9,0.0
IL,2,39.9,35.1,100.0,29.66,1.2,6.9,0.29
IL,2,41.0,33.1,96.0,29.54,10.0,15.0,0.0
NY,2,46.0,41.4,89.0,29.55,10.0,9.2,0.01
NJ,3,39.9,35.8,100.0,29.8,4.0,5.8,0.16
NY,2,39.0,34.8,96.0,29.79,0.8,5.8,0.03
CT,3,37.9,33.5,100.0,29.53,2.5,5.8,0.02
IN,2,34.0,23.4,89.0,29.74,10.0,17.3,0.0
IL,2,33.1,26.9,96.0,29.61,2.5,6.9,0.0
WA,2,43.0,36.0,93.0,29.94,9.0,13.8,0.0
MI,3,24.1,14.4,71.0,30.19,9.0,9.2,0.0
IN,2,36.0,31.1,67.0,30.21,9.0,5.8,0.0
IN,2,36.0,31.1,67.0,30.21,9.0,5.8,0.0
IN,2,36.0,31.1,67.0,30.21,9.0,5.8,0.0
IN,2,39.0,34.0,60.0,30.22,10.0,6.9,0.0
OH,2,32.0,25.6,82.0,30.2,9.0,6.9,0.0
OH,2,32.0,24.8,88.0,30.23,3.0,8.1,0.0
NY,2,19.9,10.1,68.0,30.39,9.0,8.1,0.0
OH,3,27.0,23.0,72.0,30.49,9.0,3.5,0.0
OH,2,28.9,21.9,85.0,30.51,8.0,6.9,0.0
MN,3,26.1,15.6,96.0,30.19,2.5,11.5,0.0
OR,2,39.9,30.8,83.0,29.69,10.0,18.4,0.0
WA,2,42.1,35.7,85.0,29.86,10.0,11.5,0.0
MN,3,19.9,12.1,62.0,30.55,9.0,5.8,0.0
MI,3,25.0,17.1,92.0,30.29,3.0,6.9,0.0
MI,2,26.1,14.5,81.0,30.29,1.5,13.8,0.01
IL,2,25.0,13.6,66.0,30.45,9.0,12.7,0.0
IL,2,21.9,10.4,63.0,30.5,9.0,11.5,0.0
NY,3,16.0,2.3,77.0,30.3,3.0,12.7,0.0
NY,2,21.0,11.4,92.0,30.12,1.8,8.1,0.02
NY,2,30.0,20.5,92.0,29.98,2.5,11.5,0.0
NY,3,30.0,20.5,92.0,29.98,2.5,11.5,0.0
NJ,2,30.9,24.3,89.0,29.98,1.2,6.9,0.01
NY,3,30.9,22.8,85.0,29.98,2.5,9.2,0.0
PA,3,30.0,19.1,69.0,30.09,10.0,15.0,0.0
OH,3,19.0,6.1,68.0,30.4,9.0,12.7,0.0
OR,2,45.0,40.6,93.0,30.15,10.0,8.1,0.0
OR,2,45.0,40.1,82.0,29.91,10.0,9.2,0.1
OR,2,41.0,35.8,89.0,29.81,10.0,8.1,0.0
OR,2,33.8,24.3,93.0,29.77,0.8,13.8,0.01
OH,2,46.0,42.5,93.0,29.82,2.0,6.9,0.16
WI,4,37.4,28.9,100.0,29.34,7.0,13.8,0.02
IN,2,37.0,28.1,89.0,29.98,8.0,15.0,0.0
IN,2,36.0,28.0,93.0,30.02,8.0,11.5,0.0
UT,2,28.4,22.2,86.0,30.15,3.0,5.8,0.0
OH,2,35.1,31.0,85.0,30.22,10.0,4.6,0.0
IL,2,30.9,22.8,69.0,30.22,10.0,9.2,0.0
IL,2,32.0,25.6,66.0,30.18,10.0,6.9,0.0
IN,4,28.9,21.9,85.0,30.18,9.0,6.9,0.0
IN,2,30.2,24.3,93.0,30.29,6.0,5.8,0.0
CA,2,42.1,34.9,100.0,30.04,4.0,13.8,0.01
AL,2,42.1,39.2,85.0,30.48,6.0,4.6,0.04
TN,2,36.0,29.6,86.0,30.47,5.0,8.1,0.01
AR,2,34.0,25.5,92.0,30.31,6.0,11.5,0.05
OR,2,36.0,33.3,93.0,30.29,2.5,3.5,0.01
NC,2,34.0,25.5,92.0,30.27,3.0,11.5,0.07
VA,2,30.0,24.1,88.0,30.19,0.8,5.8,0.03
GA,3,37.0,27.4,89.0,29.96,2.5,17.3,0.0
WA,3,43.0,39.5,86.0,30.1,9.0,5.8,0.06
VA,2,36.0,29.6,59.0,30.16,10.0,8.1,0.07
GA,2,39.0,32.3,89.0,30.03,6.0,10.4,0.01
MN,2,21.0,12.4,100.0,30.18,1.5,6.9,0.0
WA,2,45.0,35.6,74.0,29.89,10.0,27.6,0.0
WA,2,45.0,42.6,100.0,30.12,10.0,4.6,0.0
SC,2,41.0,35.8,100.0,30.09,4.0,8.1,0.01
TX,3,43.0,35.1,89.0,29.99,10.0,17.3,0.01
OR,2,46.0,39.3,93.0,29.77,9.0,16.1,0.04
PA,4,45.0,41.8,100.0,30.05,0.8,5.8,0.04
NJ,2,45.0,41.8,97.0,29.94,4.0,5.8,0.04
TN,3,41.0,33.1,86.0,29.52,6.0,15.0,0.01
OR,2,42.1,37.1,85.0,30.03,7.0,8.1,0.07
OR,2,44.6,40.2,93.0,30.03,6.0,8.1,0.1
OR,2,33.1,30.0,96.0,29.81,1.5,3.5,0.01
MN,3,32.0,22.5,92.0,30.08,0.8,12.7,0.02
OR,2,30.0,26.5,88.0,30.06,0.8,3.5,0.07
NC,2,44.1,40.8,63.0,30.45,9.0,5.8,0.0
MN,3,36.0,29.6,93.0,29.45,3.0,8.1,0.08
UT,2,26.6,13.8,80.0,29.92,9.0,17.3,0.0
MI,2,36.0,26.7,79.0,29.88,10.0,15.0,0.0
VT,4,32.0,28.7,100.0,29.83,1.2,3.5,0.0
MI,4,27.0,18.7,89.0,30.22,3.0,8.1,0.0
OR,2,45.0,43.5,80.0,30.26,10.0,3.5,0.02
MI,2,37.0,31.6,100.0,29.73,1.5,6.9,0.21
OH,2,39.0,34.0,96.0,30.02,5.0,6.9,0.03
DE,2,43.0,39.5,89.0,30.25,7.0,5.8,0.0
NY,2,43.0,37.2,86.0,30.27,10.0,10.4,0.01
MD,4,46.4,42.9,93.0,29.9,10.0,6.9,0.01
MO,2,44.1,40.1,87.0,29.88,10.0,6.9,0.0
MN,3,34.0,25.0,89.0,29.78,7.0,12.7,0.0
WI,4,32.0,23.6,96.0,29.86,2.5,10.4,0.0
MN,3,24.1,11.5,88.0,30.36,2.5,15.0,0.01
MI,4,33.1,22.2,89.0,29.91,9.0,17.3,0.0
MD,4,43.0,38.8,65.0,30.26,10.0,6.9,0.0
OH,2,36.0,29.0,89.0,30.01,6.0,9.2,0.06
WV,2,46.0,43.9,100.0,29.96,2.0,4.6,0.05
TN,2,42.1,39.2,92.0,30.08,2.5,4.6,0.05
WI,3,19.9,5.7,81.0,30.12,6.0,16.1,0.0
GA,3,43.0,36.8,89.0,30.12,1.5,11.5,0.28
MO,4,28.0,18.1,85.0,30.45,0.8,11.5,0.0
MO,2,25.0,13.1,92.0,30.46,0.8,13.8,0.01
TX,2,43.0,36.0,97.0,30.09,2.0,13.8,0.01
AR,4,28.9,21.9,92.0,30.36,8.0,6.9,0.0
MI,2,34.0,29.8,92.0,29.94,6.0,4.6,0.01
MD,4,30.9,22.8,92.0,30.4,4.0,9.2,0.01
IN,4,31.1,24.5,100.0,30.09,2.0,6.9,0.01
NJ,2,30.0,20.0,92.0,30.41,0.5,12.7,0.07
VA,4,32.0,27.5,100.0,29.93,2.5,4.6,0.01
NC,2,39.9,31.4,97.0,30.13,6.0,16.1,0.06
GA,2,42.1,40.2,89.0,30.11,8.0,3.5,0.05
RI,2,39.0,31.0,96.0,29.57,3.0,13.8,0.0
ME,2,28.9,25.2,96.0,29.82,1.2,3.5,0.03
NY,2,30.0,20.0,85.0,29.76,0.5,12.7,0.06
NH,2,26.1,15.6,92.0,29.75,1.8,11.5,0.01
NY,2,30.0,23.2,85.0,29.72,0.5,6.9,0.04
DC,4,37.9,28.9,86.0,29.67,8.0,16.1,0.0
NY,2,42.8,33.8,87.0,29.46,10.0,21.9,0.0
CT,3,44.1,38.1,93.0,29.42,10.0,11.5,0.0
RI,2,35.6,28.0,93.0,29.86,4.0,10.4,0.0
NH,2,32.0,28.7,96.0,29.89,0.8,3.5,0.03
WA,2,45.0,43.5,97.0,29.84,8.0,3.5,0.05
OR,2,44.1,42.5,100.0,29.83,5.0,3.5,0.05
OR,2,39.0,30.3,100.0,29.8,0.5,16.1,0.07
VA,2,33.3,25.1,47.0,30.53,10.0,10.4,0.0
UT,2,37.0,29.8,89.0,29.97,6.0,10.4,0.04
OR,2,46.0,41.9,89.0,29.57,4.0,8.1,0.17
NV,3,37.9,33.5,86.0,29.96,10.0,5.8,0.01
GA,4,46.0,40.6,96.0,30.11,2.0,11.5,0.01
OR,2,45.0,42.6,86.0,29.85,10.0,4.6,0.01
NY,4,37.0,31.6,100.0,29.76,5.0,6.9,0.03
MO,3,28.9,17.3,89.0,29.82,0.2,16.1,0.01
OH,2,37.9,30.5,86.0,29.61,8.0,11.5,0.01
IL,2,27.0,12.8,81.0,29.85,10.0,21.9,0.0
ME,2,34.0,23.8,96.0,29.39,1.5,16.1,0.18
NH,2,34.0,23.8,96.0,29.2,3.0,16.1,0.07
MO,2,19.9,7.3,74.0,30.16,9.0,12.7,0.0
NY,4,34.0,28.0,92.0,29.31,4.0,6.9,0.0
OH,2,21.0,8.6,81.0,30.04,7.0,12.7,0.0
UT,2,35.1,24.8,92.0,29.61,6.0,17.3,0.02
TX,3,46.0,41.9,96.0,30.25,4.0,8.1,0.12
ME,2,33.1,23.0,96.0,30.14,3.0,15.0,0.04
OH,2,44.1,38.6,93.0,29.86,9.0,10.4,0.01
MI,3,46.0,43.9,89.0,29.59,4.0,4.6,0.02
NY,3,44.1,37.4,96.0,29.75,10.0,13.8,0.0
IL,3,42.1,34.5,96.0,30.02,8.0,15.0,0.0
NY,2,30.9,27.5,92.0,30.15,0.2,3.5,0.05
NJ,4,46.0,44.8,100.0,29.55,0.2,3.5,0.0
CO,4,37.0,28.9,79.0,30.01,2.0,12.7,0.0
IL,3,37.9,26.8,93.0,29.78,10.0,24.2,0.03
NH,2,33.1,25.5,89.0,30.26,1.0,9.2,0.02
NH,2,33.1,24.4,92.0,30.23,1.2,11.5,0.01
IL,2,28.0,17.0,81.0,29.79,6.0,13.8,0.0
MI,4,34.0,26.0,92.0,29.75,1.0,10.4,0.0
NJ,3,45.5,40.8,88.0,29.58,5.0,9.2,0.02
