Severity,State,Temperature(F),Wind_Chill(F),Humidity(%),Pressure(in),Visibility(mi),Wind_Speed(mph),Precipitation(in)
3,MO,48.0,,74.0,30.06,10.0,,0.0
3,OK,55.0,,77.0,29.86,10.0,9.2,
2,TX,62.1,,62.0,29.86,10.0,9.2,
2,LA,62.1,,100.0,29.85,4.0,5.8,0.14
3,TX,54.0,,97.0,29.93,4.0,5.8,
2,OK,51.1,,89.0,29.95,10.0,5.8,0.0
2,CO,51.8,,38.0,30.04,30.0,6.9,
3,AZ,84.2,,30.0,29.93,10.0,8.1,
3,OR,53.1,,69.0,30.14,10.0,,
2,OR,55.9,,100.0,30.09,8.0,5.8,0.03
2,OR,55.9,,90.0,30.09,7.0,4.6,0.01
2,CA,44.6,,93.0,30.08,10.0,,
2,CA,57.2,,100.0,30.14,2.5,,
2,CA,68.0,,40.0,30.05,10.0,3.5,
2,CA,73.0,,21.0,30.05,10.0,,
3,CA,66.0,,81.0,30.03,4.0,5.8,
2,CA,62.1,,90.0,30.05,2.5,,
2,CA,78.8,,36.0,29.97,10.0,8.1,
2,CA,69.1,,75.0,29.96,8.0,3.5,
2,MA,32.0,26.4,64.0,30.1,10.0,5.8,
2,NY,35.1,,85.0,30.12,10.0,,
2,MD,37.4,33.8,87.0,30.14,10.0,4.6,
2,OH,46.9,,96.0,29.69,3.0,8.1,0.01
2,VA,48.0,,96.0,29.94,4.0,4.6,0.01
2,NC,51.8,,100.0,29.67,5.0,,0.02
3,FL,84.0,,63.0,29.82,10.0,11.5,
2,FL,82.0,,65.0,29.82,10.0,17.3,
2,SC,45.0,37.6,97.0,29.91,1.8,17.3,0.09
3,SC,46.4,41.5,93.0,29.87,2.0,10.4,
2,SC,46.9,,97.0,29.95,1.2,9.2,0.14
3,SC,50.0,,93.0,29.71,2.5,12.7,0.0
2,SC,51.1,,100.0,29.68,9.0,4.6,
2,SC,50.0,,96.0,29.73,2.5,5.8,
2,FL,80.1,,79.0,29.64,10.0,17.3,0.0
2,SC,71.6,,73.0,29.8,5.0,8.1,
2,GA,51.1,,89.0,29.72,5.0,8.1,
3,IL,48.9,,71.0,29.88,10.0,9.2,
3,TX,48.9,,93.0,29.97,10.0,,
3,TX,60.4,,75.0,29.97,10.0,3.5,
2,LA,60.1,,78.0,29.91,10.0,10.4,
2,TN,54.0,,100.0,29.69,3.0,12.7,0.0
3,LA,,,,,,,
3,TX,55.9,,97.0,29.97,10.0,5.8,
3,TX,69.1,,65.0,30.0,10.0,11.5,
2,TX,73.9,,53.0,29.94,10.0,10.4,
2,UT,,,,,,,
2,AZ,54.5,,83.0,29.96,10.0,6.9,
2,AZ,82.4,,28.0,29.97,10.0,3.5,
2,OR,62.1,,86.0,30.09,8.0,5.8,0.04
2,CA,46.4,,93.0,30.1,10.0,,
2,CA,52.0,,77.0,30.09,10.0,3.5,
2,CA,48.9,,93.0,30.1,10.0,3.5,
2,CA,59.0,,87.0,30.01,6.0,3.5,
3,CA,87.1,,23.0,29.95,10.0,11.5,
2,CA,75.9,,50.0,29.94,10.0,,
3,NY,39.0,30.3,62.0,29.97,10.0,16.1,0.0
3,NE,52.0,,66.0,29.92,10.0,4.6,
2,AL,62.1,,58.0,30.01,10.0,11.5,
2,CA,,,,,,,
2,CA,51.8,,67.0,30.06,10.0,,
3,CA,88.0,,22.0,29.89,10.0,11.5,
3,CA,,,,,,,
3,NH,44.1,42.5,79.0,29.78,5.0,3.5,
3,NY,48.0,,86.0,29.72,10.0,6.9,
2,NY,46.0,40.6,89.0,29.77,10.0,11.5,
2,SC,62.6,,48.0,30.07,10.0,10.4,
2,LA,75.0,,69.0,30.18,10.0,6.9,
2,TX,53.6,,100.0,30.08,10.0,,
3,CA,59.0,,96.0,30.02,1.0,,
3,CA,80.6,,48.0,29.95,5.0,10.4,
3,CA,64.0,,87.0,29.98,5.0,5.8,
2,MA,48.9,,86.0,29.75,10.0,6.9,0.01
2,NY,45.0,38.5,80.0,29.83,10.0,13.8,0.0
2,NY,44.1,37.1,85.0,29.86,10.0,15.0,0.0
3,NY,51.1,,83.0,29.68,10.0,6.9,0.02
2,CT,53.1,,80.0,29.68,10.0,13.8,
2,NY,55.0,,64.0,29.78,10.0,15.0,
2,CT,52.0,,77.0,29.8,10.0,,0.0
2,OH,46.0,37.8,71.0,29.87,10.0,23.0,
3,NC,48.0,,54.0,29.99,10.0,,
2,NC,57.0,,53.0,30.08,10.0,5.8,
3,FL,62.6,,100.0,30.11,7.0,,
2,SC,53.1,,50.0,30.02,10.0,8.1,
3,SC,73.0,,21.0,30.03,10.0,6.9,
2,SC,68.0,,30.0,30.08,10.0,6.9,
2,SC,73.4,,27.0,30.04,10.0,6.9,
2,SC,73.9,,23.0,30.04,10.0,11.5,
3,TX,81.0,,56.0,29.99,10.0,12.7,
2,TX,82.0,,51.0,30.01,10.0,9.2,
3,TX,,,,,,,
2,OK,78.1,,48.0,29.89,10.0,9.2,
2,TX,78.8,,51.0,29.95,10.0,12.7,
2,AR,66.0,,42.0,30.19,10.0,9.2,
3,TN,39.9,,89.0,30.18,10.0,,
2,TN,39.9,,89.0,30.18,10.0,,
3,AZ,84.9,,23.0,29.85,10.0,3.5,
2,TX,81.0,,19.0,29.88,10.0,8.1,
2,TX,81.0,,19.0,29.88,10.0,8.1,
2,WA,46.0,43.1,86.0,30.07,10.0,5.8,
2,CA,69.8,,25.0,30.09,10.0,12.7,
3,CA,61.0,,90.0,29.99,3.0,,
3,CA,53.6,,94.0,30.0,4.0,,
2,CA,64.0,,58.0,29.98,7.0,,
2,CA,81.0,,20.0,29.92,10.0,5.8,
2,CA,73.0,,55.0,29.91,10.0,4.6,
2,CA,70.0,,68.0,29.91,5.0,4.6,
2,CA,62.1,,86.0,29.97,10.0,,
3,MA,41.0,34.7,70.0,29.8,10.0,10.4,
3,NY,45.0,38.9,65.0,30.03,10.0,12.7,
2,NY,43.0,37.2,65.0,30.03,10.0,10.4,
3,VA,57.0,,62.0,30.19,10.0,10.4,
3,OH,33.1,,85.0,30.17,10.0,,
2,NC,37.4,,100.0,30.25,10.0,,
2,NC,46.4,,76.0,30.25,10.0,,
3,FL,71.1,,81.0,30.11,10.0,4.6,
3,FL,64.0,,100.0,30.09,8.0,3.5,
3,SC,42.8,39.3,81.0,30.17,10.0,5.8,
2,SC,54.9,,62.0,30.26,10.0,,
2,SC,73.0,,46.0,30.19,10.0,9.2,
2,GA,68.0,,45.0,30.22,10.0,,
3,MN,51.1,,63.0,29.88,10.0,12.7,
3,MN,53.6,,62.0,29.85,10.0,12.7,
3,MN,46.4,43.5,81.0,29.88,10.0,5.8,
2,MN,37.4,,93.0,29.82,10.0,,
2,IL,64.0,,67.0,29.76,10.0,5.8,
2,TX,64.4,,100.0,30.01,10.0,8.1,
2,TX,68.0,,90.0,29.96,10.0,3.5,
2,OK,72.0,,66.0,29.79,10.0,18.4,
2,TX,,,,,10.0,6.9,
2,TX,82.4,,58.0,29.89,10.0,16.1,
2,TX,73.9,,73.0,29.88,10.0,13.8,
3,TN,48.0,,80.0,30.14,10.0,,
3,TN,63.0,,70.0,30.04,10.0,9.2,
2,AL,76.5,,52.0,30.11,10.0,5.8,
2,TX,82.4,,51.0,29.93,10.0,6.9,
2,UT,47.3,,49.0,30.16,10.0,17.3,
2,AZ,73.0,,41.0,29.82,10.0,9.2,
2,WA,54.0,,75.0,30.34,10.0,8.1,
4,WA,43.0,40.3,76.0,30.28,10.0,4.6,
2,CA,62.1,,39.0,30.11,10.0,12.7,
2,CA,63.0,,84.0,29.91,9.0,,
3,NY,73.9,,66.0,30.19,10.0,4.6,
2,RI,69.1,,63.0,30.32,10.0,12.7,
3,MI,62.1,,90.0,30.14,10.0,6.9,
2,NY,73.0,,81.0,30.17,10.0,10.4,
2,PA,71.1,,96.0,30.13,10.0,,
3,KY,71.1,,96.0,30.1,5.0,,
2,IN,69.1,,87.0,30.11,10.0,,
3,KY,73.9,,91.0,30.07,10.0,4.6,0.02
3,GA,79.0,,64.0,29.37,10.0,,
3,GA,88.0,,49.0,29.29,10.0,8.1,
3,SC,78.8,,69.0,30.13,10.0,,
3,FL,91.0,,55.0,30.1,10.0,13.8,
3,GA,73.0,,87.0,30.12,10.0,3.5,
2,SC,93.2,,38.0,30.16,10.0,8.1,
3,MN,73.0,,79.0,29.84,10.0,10.4,
2,LA,80.1,,87.0,30.0,10.0,5.8,
2,TX,75.9,,79.0,29.96,10.0,,
2,TX,79.0,,74.0,29.97,10.0,3.5,
2,OK,91.9,,45.0,29.85,10.0,13.8,
3,TX,88.7,,47.0,29.93,10.0,6.9,
2,TN,84.9,,59.0,30.12,10.0,6.9,
2,TX,80.6,,79.0,29.97,10.0,3.5,
3,TX,86.0,,74.0,29.99,10.0,4.6,
3,UT,66.9,,39.0,29.91,5.0,,
2,AZ,88.0,,40.0,29.8,10.0,9.2,
3,CA,82.0,,52.0,29.84,10.0,,
3,PA,75.9,,74.0,30.29,10.0,10.4,
3,NY,73.4,,78.0,30.33,15.0,5.8,
3,CT,73.0,,66.0,30.28,10.0,8.1,
2,NC,91.4,,52.0,30.2,10.0,,
2,NC,90.0,,57.0,30.16,10.0,5.8,
2,FL,84.0,,74.0,30.13,10.0,8.1,
2,TX,82.0,,67.0,29.9,10.0,5.8,
2,TX,87.8,,49.0,29.86,10.0,6.9,
2,TX,87.1,,29.0,29.76,10.0,11.5,
3,CA,64.9,,31.0,29.85,10.0,21.9,
2,CA,66.9,,25.0,29.77,10.0,6.9,
3,MI,71.1,,93.0,30.11,10.0,5.8,0.09
3,PA,75.2,,83.0,30.28,7.0,5.8,
3,FL,75.9,,87.0,30.04,10.0,11.5,0.0
3,GA,86.7,,52.0,30.12,10.0,8.1,
3,AZ,82.0,,45.0,29.77,10.0,6.9,
2,CA,64.0,,73.0,29.85,10.0,3.5,
2,CA,64.4,,88.0,29.9,5.0,,
3,CA,82.4,,45.0,29.84,10.0,10.4,
3,NY,79.0,,82.0,30.14,10.0,8.1,
3,NY,91.0,,53.0,30.18,10.0,3.5,
2,CT,90.0,,55.0,30.2,10.0,5.8,
2,SC,85.5,,56.0,30.29,10.0,5.8,
3,FL,75.9,,97.0,29.96,10.0,10.4,0.05
2,SC,84.9,,63.0,30.29,10.0,,
3,IL,73.9,,87.0,30.17,10.0,5.8,
3,TX,75.9,,79.0,29.96,10.0,11.5,
3,TX,73.4,,100.0,29.98,3.0,8.1,
2,TX,82.9,,74.0,29.85,10.0,15.0,0.03
2,LA,86.0,,72.0,30.06,10.0,10.4,
2,LA,78.8,,89.0,30.04,9.0,3.5,0.23
2,AL,73.9,,91.0,30.21,10.0,4.6,
2,TX,77.0,,94.0,29.89,10.0,,
3,CA,73.9,,71.0,29.83,10.0,9.2,
2,CA,72.0,,71.0,29.87,10.0,5.8,
2,NY,70.0,,100.0,30.3,9.0,,
2,PA,69.1,,96.0,30.27,2.5,,
2,PA,78.1,,81.0,30.27,10.0,3.5,
3,KY,75.9,,87.0,30.19,10.0,4.6,
2,OH,73.4,,89.0,30.23,10.0,,
3,VA,89.6,,59.0,30.27,10.0,5.8,
2,NC,88.0,,59.0,30.24,10.0,8.1,
2,VA,,,,,,,
2,VA,87.1,,65.0,30.23,10.0,4.6,
3,FL,88.0,,63.0,30.05,10.0,16.1,
3,FL,77.0,,96.0,30.07,10.0,9.2,0.0
2,FL,79.0,,91.0,30.02,10.0,8.1,
3,SC,84.0,,67.0,30.28,10.0,8.1,
2,MN,73.9,,93.0,30.06,10.0,5.8,
3,MN,70.2,,98.0,30.02,2.5,,
3,MN,70.0,,100.0,29.97,4.0,5.8,0.1
2,NE,75.7,,94.0,29.93,7.0,5.8,
3,MN,73.0,,96.0,30.0,8.0,3.5,0.03
3,LA,89.1,,65.0,29.94,10.0,3.5,
2,LA,75.9,,91.0,30.06,10.0,9.2,
2,AL,75.9,,94.0,29.94,9.0,23.0,0.18
2,TX,84.9,,63.0,29.92,10.0,13.8,
2,TX,78.1,,81.0,29.99,10.0,6.9,
3,TN,86.0,,53.0,30.23,10.0,4.6,
3,AL,73.9,,87.0,30.19,10.0,5.8,
2,TX,84.0,,79.0,30.01,10.0,11.5,
2,TX,87.8,,62.0,29.98,10.0,,
3,WA,59.0,,75.0,30.15,10.0,5.8,
2,CA,61.0,,75.0,29.83,9.0,6.9,
2,CA,84.0,,37.0,29.77,9.0,10.4,
3,CA,71.1,,73.0,29.84,10.0,4.6,
3,PA,68.0,,96.0,30.25,6.0,5.8,
3,PA,86.0,,61.0,30.24,10.0,11.5,
3,OH,84.9,,80.0,30.13,10.0,3.5,
2,NC,79.0,,88.0,30.22,6.0,,
2,NC,87.1,,55.0,30.23,10.0,4.6,
3,GA,75.9,,91.0,30.18,10.0,9.2,
2,SC,87.1,,67.0,30.19,10.0,11.5,
2,NE,69.8,,100.0,30.04,10.0,8.1,
3,MN,69.1,,44.0,30.3,10.0,9.2,
3,KS,,,,,,,
2,TX,93.0,,45.0,29.94,10.0,5.8,
2,TX,80.1,,79.0,30.0,10.0,3.5,
2,TN,75.9,,85.0,30.16,10.0,3.5,
3,FL,75.9,,91.0,30.1,6.0,9.2,0.09
2,AL,77.2,,80.0,30.14,9.0,4.6,
3,TX,77.0,,96.0,29.99,10.0,5.8,
2,OK,75.9,,91.0,30.1,3.0,3.5,0.04
2,TX,78.8,,89.0,30.0,9.0,,
2,CO,61.0,,70.0,30.21,10.0,3.5,
3,AZ,79.2,,53.0,29.9,10.0,8.1,
2,WA,75.9,,36.0,29.98,10.0,5.8,
3,CA,84.2,,20.0,29.89,10.0,9.2,
2,CA,77.0,,50.0,29.92,2.0,5.8,
3,CA,68.0,,81.0,29.92,9.0,3.5,
3,CA,71.1,,73.0,29.95,8.0,,
3,CA,64.9,,87.0,29.97,3.0,,
2,CA,78.1,,58.0,29.94,7.0,6.9,
3,CA,89.1,,36.0,29.88,10.0,9.2,
3,CA,69.8,,73.0,29.97,10.0,6.9,
3,MA,78.1,,81.0,30.09,10.0,10.4,
2,NY,80.1,,90.0,30.17,8.0,10.4,
3,OH,77.0,,74.0,30.24,10.0,10.4,
3,PA,79.0,,79.0,30.17,9.0,,
3,MD,82.0,,79.0,30.18,10.0,5.8,
2,IN,73.9,,87.0,30.15,10.0,3.5,
2,IN,73.0,,90.0,30.18,10.0,,
2,TN,88.0,,57.0,30.16,10.0,,
2,NC,73.9,,93.0,30.22,10.0,,
2,NC,82.9,,72.0,30.2,10.0,6.9,
2,NC,86.0,,65.0,30.21,10.0,5.8,
2,NC,87.8,,55.0,30.21,10.0,,
2,FL,89.1,,63.0,30.0,10.0,6.9,0.0
2,SC,73.2,,100.0,30.24,10.0,3.5,
2,SC,82.9,,77.0,30.2,10.0,3.5,
2,SC,82.4,,79.0,30.19,10.0,,
2,MN,60.1,,60.0,30.44,10.0,8.1,
3,MN,57.9,,70.0,30.44,10.0,,
3,MO,75.9,,82.0,30.18,10.0,8.1,
2,IL,63.0,,90.0,30.3,1.0,11.5,0.19
2,TX,73.4,,100.0,30.05,10.0,4.6,
2,TX,81.9,,81.0,30.12,10.0,,
2,TX,91.0,,48.0,30.03,10.0,4.6,
2,LA,79.0,,84.0,30.03,10.0,5.8,
2,TN,73.9,,85.0,30.15,6.0,8.1,0.03
2,TN,79.0,,79.0,30.1,10.0,5.8,0.0
2,TX,86.0,,62.0,29.96,10.0,,
2,AZ,100.0,,14.0,29.81,10.0,4.6,
2,WA,69.1,,40.0,30.06,10.0,5.8,
3,WA,73.0,,41.0,30.06,10.0,6.9,
3,CA,84.2,,29.0,30.0,9.0,5.8,
3,CA,68.0,,81.0,30.01,10.0,,
3,CA,71.1,,73.0,30.01,10.0,5.8,
2,CA,75.0,,64.0,30.03,10.0,5.8,
2,CA,69.1,,81.0,29.96,10.0,3.5,
2,NH,72.0,,57.0,30.17,10.0,9.2,
3,KY,88.0,,63.0,30.01,10.0,6.9,
2,OH,73.0,,73.0,30.19,9.0,6.9,
2,NC,91.0,,41.0,30.01,10.0,,
2,VA,90.0,,55.0,30.11,10.0,4.6,
2,VA,90.0,,54.0,30.04,10.0,3.5,
2,VA,91.0,,52.0,30.07,10.0,5.8,
2,FL,82.9,,72.0,29.95,10.0,11.5,
2,FL,86.5,,66.0,29.98,10.0,8.1,
2,SC,69.8,,100.0,30.12,7.0,,
2,GA,82.0,,67.0,30.09,10.0,,
3,SC,91.0,,47.0,30.0,10.0,5.8,
3,FL,80.1,,85.0,29.99,10.0,5.8,
2,SC,84.2,,58.0,30.16,10.0,4.6,
2,MN,61.0,,75.0,30.35,10.0,4.6,
2,MN,51.8,,100.0,30.33,10.0,,
2,IL,64.0,,90.0,30.23,10.0,5.8,0.0
3,IL,68.0,,78.0,30.23,10.0,15.0,0.12
3,OK,72.1,,100.0,30.06,10.0,9.2,0.02
2,OK,73.0,,96.0,30.05,6.0,8.1,0.1
2,TX,79.0,,82.0,29.94,10.0,3.5,
2,TX,75.2,,94.0,30.01,7.0,,
3,TN,93.0,,42.0,29.98,10.0,8.1,
2,TN,91.0,,44.0,29.96,10.0,5.8,
2,TN,75.9,,91.0,30.0,8.0,,
2,CO,55.0,,100.0,30.18,3.0,4.6,
1,AZ,97.0,,19.0,29.78,10.0,,
2,WA,61.0,,81.0,30.1,10.0,5.8,0.05
3,CA,57.9,,90.0,30.05,5.0,3.5,
3,CA,64.9,,73.0,29.98,10.0,15.0,
2,CA,62.1,,100.0,29.96,6.0,4.6,
2,CA,72.0,,76.0,29.99,10.0,5.8,
3,WI,60.3,,96.0,30.24,10.0,9.2,
3,TX,71.1,,,29.91,7.0,5.8,0.18
2,TX,73.4,,94.0,29.95,0.8,8.1,
2,CA,48.2,,93.0,29.96,10.0,,
3,MI,55.0,,67.0,30.06,10.0,6.9,
3,NY,59.0,,82.0,30.24,10.0,8.1,
3,IN,55.4,,100.0,29.91,4.0,13.8,
3,MO,66.9,,76.0,29.95,10.0,9.2,
3,TN,73.9,,93.0,29.83,1.0,4.6,0.53
3,CA,62.1,,78.0,29.93,10.0,4.6,
2,CA,59.0,,82.0,29.94,6.0,5.8,
3,CA,88.0,,34.0,29.86,10.0,,
3,CA,69.1,,87.0,29.82,8.0,3.5,
2,RI,57.9,,81.0,30.17,10.0,5.8,
2,NY,51.1,,96.0,30.16,2.0,10.4,0.26
2,NJ,59.9,,91.0,30.19,4.0,13.8,0.01
3,NY,62.6,,94.0,30.43,6.0,,0.01
3,DC,,,,,,,
3,OH,60.1,,100.0,29.89,10.0,6.9,
3,SC,66.6,,99.0,29.99,5.0,4.6,
3,VA,84.9,,72.0,30.01,10.0,4.6,
2,FL,75.9,,100.0,29.98,10.0,,
2,NE,60.1,,94.0,30.03,10.0,,
3,MO,57.9,,90.0,30.03,10.0,,
3,MO,75.9,,54.0,30.05,10.0,,
2,IL,53.1,,93.0,30.02,8.0,4.6,
2,LA,80.1,,81.0,29.95,10.0,3.5,
3,AL,87.8,,62.0,29.91,10.0,4.6,
2,TX,77.0,,89.0,29.94,3.0,4.6,
2,CO,63.0,,39.0,29.89,10.0,4.6,
2,CO,70.0,,31.0,29.89,10.0,6.9,
2,CO,84.0,,17.0,29.82,10.0,9.2,
3,AZ,102.0,,11.0,29.66,10.0,11.5,
3,NV,90.0,,6.0,29.78,10.0,12.7,
2,CA,55.4,,77.0,29.92,10.0,,
2,CA,59.0,,72.0,29.85,10.0,3.5,
3,CA,59.0,,81.0,29.95,9.0,4.6,
3,CA,62.1,,72.0,29.89,10.0,,
2,CA,,,,29.94,10.0,6.9,
3,CA,91.4,,17.0,29.78,9.0,4.6,
2,CA,71.1,,55.0,29.84,10.0,13.8,
3,CA,62.6,,72.0,29.87,10.0,9.2,
3,CT,73.9,,79.0,30.14,10.0,3.5,
3,NY,66.0,,96.0,30.14,2.5,4.6,0.0
2,PA,63.0,,100.0,30.1,0.5,4.6,0.0
2,VA,62.6,,100.0,30.09,1.0,4.6,
2,OH,61.9,,91.0,30.16,10.0,4.6,
2,NC,69.8,,100.0,30.09,10.0,,
2,SC,86.0,,65.0,30.02,10.0,3.5,
2,NC,73.9,,87.0,30.09,10.0,,
2,VA,88.0,,61.0,30.1,10.0,5.8,
3,GA,75.0,,96.0,30.04,10.0,,
3,IL,70.0,,68.0,30.15,10.0,3.5,
2,TX,84.9,,61.0,29.87,10.0,4.6,
2,OK,78.1,,62.0,30.02,10.0,5.8,
2,LA,73.9,,97.0,29.99,7.0,5.8,
2,LA,81.0,,77.0,29.99,10.0,3.5,
3,AL,78.1,,93.0,30.01,5.0,15.0,
2,TN,71.1,,68.0,30.09,10.0,5.8,
2,AL,80.1,,76.0,30.02,10.0,,
2,TX,75.2,,100.0,29.96,9.0,,0.01
2,TX,79.0,,84.0,29.92,10.0,6.9,
2,AZ,80.6,,37.0,29.82,40.0,5.8,
2,AZ,102.0,,17.0,29.69,10.0,9.2,
2,AZ,104.0,,13.0,29.7,10.0,13.8,
2,AZ,105.8,,12.0,29.69,10.0,9.2,
3,OR,57.0,,89.0,30.0,10.0,3.5,
3,CA,91.9,,14.0,29.76,10.0,9.2,
2,CA,91.0,,17.0,29.82,10.0,5.8,
2,CA,73.0,,66.0,29.81,10.0,3.5,
3,NY,64.9,,100.0,30.24,10.0,,
2,PA,,,,30.22,3.0,3.5,0.01
3,NJ,81.0,,77.0,30.19,10.0,4.6,
3,VA,82.0,,62.0,30.16,10.0,,0.01
3,VA,80.6,,89.0,30.16,10.0,5.8,
3,KY,63.0,,93.0,30.15,10.0,6.9,
3,FL,79.0,,94.0,29.96,10.0,4.6,
2,FL,81.0,,88.0,29.95,10.0,,
2,SC,73.4,,94.0,30.13,10.0,5.8,
3,SC,82.0,,74.0,30.06,10.0,6.9,
2,SC,87.1,,63.0,30.04,10.0,8.1,
2,GA,91.9,,55.0,30.02,10.0,8.1,
2,MN,71.1,,70.0,30.02,10.0,10.4,
3,MN,80.6,,58.0,30.03,10.0,13.8,
2,MN,82.4,,54.0,29.96,10.0,17.3,
2,IL,60.1,,93.0,30.19,10.0,4.6,
2,TX,73.4,,100.0,29.98,3.0,3.5,
2,OK,71.1,,90.0,30.02,10.0,10.4,
2,TX,84.0,,65.0,29.92,10.0,3.5,0.0
2,LA,73.9,,97.0,30.02,10.0,5.8,
3,TN,81.0,,58.0,30.13,10.0,5.8,
2,AZ,97.9,,14.0,29.72,10.0,11.5,
2,CA,,,,,,,
3,CA,57.0,,77.0,29.92,10.0,5.8,
2,CA,60.1,,69.0,29.96,10.0,,
3,CA,64.0,,67.0,29.96,10.0,10.4,
2,CA,72.0,,40.0,29.92,10.0,6.9,
2,CA,81.0,,23.0,29.83,10.0,10.4,
2,CA,73.9,,35.0,29.88,10.0,4.6,
3,CA,72.0,,44.0,29.95,10.0,11.5,
2,CA,68.0,,73.0,29.93,6.0,5.8,
3,CA,84.2,,35.0,29.85,10.0,3.5,
2,CA,79.9,,,29.71,10.0,13.8,
3,MA,66.9,,87.0,30.31,10.0,4.6,
3,MI,73.0,,73.0,30.21,10.0,6.9,
3,PA,75.9,,82.0,30.21,10.0,10.4,
3,VA,73.4,,99.0,30.19,10.0,,
2,OH,73.0,,79.0,30.2,10.0,,
2,KY,88.0,,57.0,30.09,10.0,8.1,
2,NC,75.0,,90.0,30.1,10.0,13.8,
2,NC,82.4,,66.0,30.04,10.0,11.5,
2,FL,81.0,,88.0,29.95,10.0,,
2,SC,89.1,,53.0,30.02,10.0,5.8,
3,GA,75.0,,87.0,30.07,10.0,10.4,
2,KS,,,,,,,
2,OK,72.0,,91.0,30.02,10.0,11.5,
2,LA,89.1,,61.0,30.01,10.0,12.7,
2,TX,71.6,,93.0,30.05,10.0,4.6,
3,TX,73.0,,93.0,30.03,10.0,4.6,
2,TN,79.0,,74.0,30.06,10.0,,
2,TX,77.0,,83.0,29.97,9.0,9.2,
2,TX,77.0,,89.0,29.96,10.0,11.5,
2,CO,69.3,,19.0,29.79,10.0,11.5,
2,AZ,105.1,,9.0,29.71,10.0,4.6,
2,AZ,89.1,,17.0,29.78,10.0,5.8,
2,NM,88.0,,17.0,29.83,10.0,11.5,
3,CA,60.8,,68.0,30.01,10.0,8.1,
2,CA,57.9,,62.0,29.95,10.0,,
3,CA,66.9,,76.0,29.91,7.0,4.6,
2,CA,78.1,,62.0,29.9,10.0,12.7,
3,CA,,,,,,,
3,MI,75.0,,64.0,30.14,10.0,4.6,
3,MA,77.0,,64.0,30.26,10.0,5.8,
2,OH,74.7,,86.0,30.14,10.0,,
2,FL,75.0,,94.0,29.96,10.0,,
2,FL,75.9,,94.0,29.94,10.0,3.5,
3,GA,71.6,,,30.06,4.0,,
3,SC,91.0,,50.0,29.9,10.0,15.0,
3,SC,87.8,,55.0,29.9,10.0,13.8,
2,SC,86.0,,57.0,29.89,10.0,12.7,
3,GA,84.9,,59.0,29.89,10.0,10.4,
2,GA,88.0,,51.0,29.81,10.0,8.1,
2,TX,77.0,,82.0,29.98,10.0,5.8,
2,OK,86.0,,49.0,29.99,10.0,5.8,
3,MS,91.9,,54.0,29.93,10.0,6.9,
2,TN,78.1,,74.0,30.07,10.0,5.8,
3,FL,81.0,,85.0,29.91,3.0,11.5,0.04
2,TX,75.0,,100.0,29.95,10.0,9.2,0.03
3,CO,89.6,,8.0,30.08,50.0,13.8,
2,CO,48.0,,59.0,30.13,10.0,,
3,NC,75.9,,94.0,29.83,5.0,21.9,0.06
3,NC,75.2,,94.0,29.93,2.0,11.5,0.01
2,SC,73.8,,87.0,29.89,10.0,8.1,
2,SC,78.8,,69.0,29.91,10.0,17.3,
3,MO,88.0,,43.0,30.02,10.0,5.8,
2,TX,73.4,,94.0,29.9,10.0,8.1,
3,TN,90.0,,54.0,30.01,10.0,8.1,
2,CO,66.0,,45.0,29.97,10.0,4.6,
3,AZ,104.0,,14.0,29.77,10.0,5.8,
2,WA,59.0,,67.0,29.88,10.0,6.9,
3,NY,69.1,,93.0,30.24,4.0,3.5,
3,PA,84.9,,46.0,30.17,10.0,8.1,
3,VA,69.8,,96.0,30.15,5.0,5.8,0.03
3,IN,82.9,,60.0,30.06,10.0,9.2,
2,SC,70.7,,97.0,29.84,5.0,10.4,0.11
3,NC,73.9,,100.0,29.85,6.0,13.8,0.0
3,GA,73.9,,97.0,29.66,4.0,6.9,0.0
2,SC,78.8,,94.0,29.81,10.0,9.2,0.04
3,CA,53.1,,80.0,30.01,10.0,,
2,CA,78.1,,29.0,29.94,10.0,5.8,
2,CA,80.1,,29.0,29.9,10.0,11.5,
2,CA,86.0,,27.0,29.93,10.0,11.5,
3,CT,66.9,,97.0,30.16,10.0,3.5,
1,MI,81.0,,58.0,29.87,10.0,6.9,
3,MD,74.7,,90.0,30.05,10.0,8.1,
3,KY,73.0,,87.0,29.89,10.0,10.4,0.0
2,IN,88.0,,45.0,29.86,10.0,3.5,
2,KY,70.0,,93.0,29.85,3.0,9.2,0.04
2,NC,87.1,,67.0,29.89,10.0,12.7,
2,FL,77.0,,90.0,29.96,7.0,13.8,0.04
3,GA,88.0,,49.0,29.9,10.0,6.9,
2,GA,91.0,,57.0,29.85,10.0,5.8,
3,MO,91.0,,44.0,29.88,10.0,9.2,
2,MN,61.0,,93.0,29.95,10.0,4.6,
2,MO,91.0,,45.0,29.88,10.0,8.1,
3,TX,82.4,,74.0,30.0,10.0,,
2,TN,75.2,,83.0,29.96,10.0,,
3,TN,73.9,,82.0,29.93,10.0,5.8,
2,CO,73.0,,27.0,29.88,10.0,10.4,
3,AZ,78.1,,52.0,29.82,10.0,4.6,
3,CA,59.0,,78.0,29.91,10.0,10.4,
2,CA,53.6,,88.0,29.97,10.0,,
2,CA,66.2,,43.0,29.93,10.0,,
2,CA,55.4,,82.0,30.0,10.0,,
2,CA,82.0,,19.0,29.8,10.0,8.1,
